Key,CLIENT_CODE,FAMILY,CLIENT_NAME,DESCRIPTION,BASIC_DISCOUNT,DISCOUNT_2
26190-4115,26190,4115,OKOVD.O.O.,SERR.MONT.CIL.EUROLOGO,50,38
26190-4133,26190,4133,OKOVD.O.O.,SERR.MONT.SICUREZZA,50,38
26190-4518,26190,4518,OKOVD.O.O.,LOGO.LINEINCAMICIATI,50,30
26190-1050,26190,1050,OKOVD.O.O.,INCONTROELETTRICOPERLEGNO,50,19
26190-0718,26190,0718,OKOVD.O.O.,CHIUDIPORTA 60450 CREMAGLIERA,50,0
26190-4802,26190,4802,OKOVD.O.O.,LOGO OVALI,50,0
26190-2207,26190,2207,OKOVD.O.O.,SERR.DMA6NOT.XP.BLINDATE,50,63
26190-3640,26190,3640,OKOVD.O.O.,CISAACCIAIORETTANGOLARI,50,5
26190-1052,26190,1052,OKOVD.O.O.,CORPIELETTRICI,50,40
26190-2204,26190,2204,OKOVD.O.O.,SERR.CIL.APPLICARE(L.C.)XPORTEBLINDATE,50,15
26190-0997,26190,0997,OKOVD.O.O.,ACCESSORIPERCORPIELETTRICI,50,40
26190-0788,26190,0788,OKOVD.O.O.,COMANDIEST.MAN.STANDARDNG,50,38
26190-0754,26190,0754,OKOVD.O.O.,MANIGLIONEPUSHBARAPPLICAREFAST,50,38
26190-0755,26190,0755,OKOVD.O.O.,MANIGLIONETOUCHBARAPPLICAREFAST,50,38
26190-0854,26190,0854,OKOVD.O.O.,ALPHA PUSH APPLICARE,50,30
26190-0855,26190,0855,OKOVD.O.O.,ALPHA TOUCH APPLICARE,50,30
26190-0887,26190,0887,OKOVD.O.O.,ALPHA BARRA,50,30
26190-0888,26190,0888,OKOVD.O.O.,ALPHA COMANDI ESTERNI,50,30
26190-080A,26190,080A,OKOVD.O.O.,ALPHA CHIUSURE SUPPLEMENTARI,50,30
26190-080K,26190,080K,OKOVD.O.O.,ALPHA KIT,50,30
26190-0897,26190,0897,OKOVD.O.O.,ALPHA INCONTRI ELETTRICI,50,0
26190-0898,26190,0898,OKOVD.O.O.,ALPHA ACCESSORI,50,0
21151-0855,21151,0855,BILOTRADED.O.0,ALPHA TOUCH APPLICARE,50,30
21151-0754,21151,0754,BILOTRADED.O.0,MANIGLIONEPUSHBARAPPLICAREFAST,50,38
21151-0787,21151,0787,BILOTRADED.O.0,BARREMANIGLIONIEUROPA,50,38
21151-0788,21151,0788,BILOTRADED.O.0,COMANDIEST.MAN.STANDARDNG,50,38
21151-1050,21151,1050,BILOTRADED.O.0,INCONTROELETTRICOPERLEGNO,50,19
21151-1802,21151,1802,BILOTRADED.O.0,CIL. OVALINI,50,5
21151-3165,21151,3165,BILOTRADED.O.0,"NUOVAMULTITOPMECC.TESTATA2.300MM-15,5",50,20
21151-4115,21151,4115,BILOTRADED.O.0,SERR.MONT.CIL.EUROLOGO,50,38
