CODE,DESCRIPTION,FAMILY,GROSS PRICE,EAN13,PACKAGING
1.85928E+11,MANIGLIA DX.X 11771.50/70,SL,5.26,0,1
1.91524E+11, + GR.SUPP.RULLO 11110-50-1,SL,5.12,0,1
1.91928E+11,MANIGLIA DX.X ART.11721,SL,5.26,8.01535E+12,1
1.91938E+11,MANIGLIA SN.X ART.11721,SL,5.26,8.01535E+12,1
1.94928E+11,MANIGLIA DX.X ART.11610,SL,5.26,8.01535E+12,1
1.94938E+11,MANIGLIA SN.X ART.11610,SL,5.26,8.01535E+12,1
1.95928E+11,MANIGLIA DX.X ART.11630,SL,5.26,0,1
1.95938E+11,MANIGLIA SN.X ART.11630,SL,5.26,0,1
1.99219E+11,PULSANTE X ELETTRIKA,SL,2.09,0,1
4.06291E+11,CILINDRETTO FINITO GIALLO PROF 926S,S060,26.21,0,1
04CMS12200000,INGEGNO X 1/2 C2000 SIVER,SL01,1.93,0,1
051860-32,LBL-AFL FIRE PIN KIT,986,42.83,8.01535E+12,1
089603490/B,SCATOLONE TIPO 50 1270 X 195 X 150,AUX,3.72,0,1
090410682006V,MAZZETTO CHIAVI X ERRETI CIFRATURA  435,SL,2.5,0,1
9.71022E+11,PUNTALE SPEC.D.8 ZINCATO,SL,8.92,0,1
9.71209E+11,TESTA IN PLASTICA NERA ASTRAL TEKNO CISA,SL90,1.74,0,1
9.91611E+11,PERNO BOMBATO D.2.5-14543,SL20,75.34,0,1
9.91611E+11,"PERNO BOMBATO D.2.5 L.4,1",SL20,75.34,0,1
9.91611E+11,PERNO BOMBATO D.2.5-14545,SL20,75.34,0,1
9.91611E+11,"PERNO BOMBATO D.2.5 L.5,4",SL20,75.34,0,1
9.91611E+11,PERNO BOMBATO D.2.5-14547,SL20,75.34,0,1
9.91612E+11,"PERNO BOMBATO D.2.5 L.6,7",SL20,75.34,0,1
100100001,SBOZZO,1902,4.41,8.01535E+12,25
10010000114,SBOZZO SABBIATO NICHELATO,1902,4.41,8.01535E+12,25
100100002,SBOZZO,1902,4.41,8.01535E+12,25
100101001,SBOZZO X DMI CORAZZATA,1902,5.08,8.01535E+12,25
100101002,SBOZZO X DMI,1902,5.08,8.01535E+12,25
1.00101E+12,SBOZZO X DMI,1902,5.08,8.01535E+12,25
100102001,SBOZZO,1902,5.14,8.01535E+12,25
100104001,SBOZZO DMI CORAZZATA,1902,5.29,8.01535E+12,25
100110001,SBOZZO QUADRIMAPPA,1902,10.1,8.01535E+12,10
1.00113E+12,SBOZZO CIR,1902,39.8,8.01535E+12,25
100120001,SBOZZO DOPPIA MAPPA,1902,6.92,8.01535E+12,25
100120002,SBOZZO DOPPIA MAPPA,1902,6.92,8.01535E+12,25
100121001,SBOZZO DMA PORTE BLIND.,1902,6.5,8.01535E+12,25
100122001,SBOZZO X DMPB 6 NOTT.,1902,7.69,8.01535E+12,10
100123001,SBOZZO LUNGO 6N. X DMPB,1902,8.4,8.01535E+12,25
100124001,SBOZZO X DMPB 6 NOTT.,1902,7.92,8.01535E+12,10
100125001,SBOZZO,1902,22.95,8.01535E+12,10
100125002,SBOZZO,1902,22.95,8.01535E+12,10
100131000,SBOZZO SPECIALE,1902,77.72,8.01535E+12,1
100162001,SBOZZO CORTO X DM RICIFRABILE,1902,9.26,8.01535E+12,10
1001620010000KC,CHIAVE DMRIC. CIFRATA A CODICE,1902,21.81,8.01535E+12,1
10016200100CE,SBOZZO CORTO X DM RICIFRABILE CON LOGO X VIGHI,1902,9.26,8.01535E+12,10
100163001,SBOZZO LUNGO X DM RICIFRABILE,1902,9.98,8.01535E+12,10
1001630010000BK,CHIAVE CIL MAPPE CIFR. A CODICE (ALVEOLARE TIPO B),1902,15.85,8.01535E+12,1
1001630010000KC,CHIAVE DMRIC. CIFRATA A CODICE,1902,21.81,8.01535E+12,1
100170001,SBOZZO CORTO X DM (CHIAVE PIEGHEVOLE),1902,25.15,8.01535E+12,10
100171001,SBOZZO LUNGO X DM (CHIAVE PIEGHEVOLE),1902,27.01,8.01535E+12,10
100210000,SBOZZO A SPILLO CORTO WHALE,1910,4.07,8.01535E+12,25
100210010,CHIAVE PATENT PROF. 1,986,2.21,8.01535E+12,20
100210020,CHIAVE PATENT PROF. 2,986,2.21,8.01535E+12,20
100210030,CHIAVE PATENT PROF. 3,986,2.21,8.01535E+12,20
100210040,CHIAVE PATENT PROF. 4,986,2.21,8.01535E+12,20
100210050,CHIAVE PATENT PROF. 5,986,2.21,8.01535E+12,20
100210060,CHIAVE PATENT PROF. 6,986,2.21,8.01535E+12,20
100210070,CHIAVE PATENT PROF. 7,986,2.21,8.01535E+12,20
100210080,CHIAVE PATENT PROF. 8,986,2.21,8.01535E+12,20
100210090,CHIAVE PATENT PROF. 9,986,2.21,8.01535E+12,20
100210100,CHIAVE PATENT PROF. 10,986,2.21,8.01535E+12,20
100211000,SBOZZO A SPILLO LUNGA WHALE,1910,4.34,8.01535E+12,25
100401001,SBOZZO PROF. LIM,1901,1.45,8.01535E+12,50
100401002,SBOZZO PROF. LIM,1901,1.45,8.01535E+12,50
100430001,CHIAVE X CILINDRO C3000,3902,4.01,8.01535E+12,50
1004308000000KC,TESSERA C3000 A CODICE,3916,60.97,8.01535E+12,1
100450011,CHIAVE X CILINDRO SP,3906,16.9,8.01535E+12,50
100450901,CHIAVE X CILINDRO SP COLLO 16MM,3906,23.46,8.01535E+12,50
10045090100DG,CHIAVE SP CL TECNO,3906,23.46,8.01535E+12,50
100500011,SBOZZO X CILINDRO TSP,3901,21.81,8.01535E+12,50
10050001100RL,SBOZZO X CILINDRO TSP DIS. 0.9701.4722,3901,13.07,8.01535E+12,50
100500012,100500012 : KEY BLANK,3901,21.81,0,
100500501,CHIAVE TSP TESTA GIALLA VIGHI,3901,30.95,8.01535E+12,50
100500601,CHIAVE TSP TESTA BLU VIGHI,3901,30.95,8.01535E+12,50
1005008000000KC,TESSERA A CODICE PER CILINDRI TSP,3911,94.48,8.01535E+12,1
100500901,SBOZZO X CILINDRO TSP COLLO 16MM,3901,28.7,8.01535E+12,50
100620010,SBOZZO CHIAVE NUOVO ASTRAL MM 2.9,1903,2.07,8.01535E+12,50
100620900,SBOZZO CHIAVE NUOVO ASTRAL MM 2.9 COLLO 16 MM,1903,4.47,8.01535E+12,50
10062090000CU,CHIAVE NUOVO ASTRAL MM 2.9 COLLO 16 MM ROSSA,1903,4.47,8.01535E+12,50
10062090000SR,SBOZZO ASTRAL A2P*,1903,5.54,8.01535E+12,50
10062095000CP,CHIAVE ASTRAL PROF.PERS.CON TESTA PERSONALIZZABILE,1903,5.39,8.01535E+12,50
10062095000RQ,CH.ASTRAL TESTA PERSONALIZZABILE,1903,5.39,8.01535E+12,50
100660010,SBOZZO CHIAVE PIATTA M6,1903,1.67,8.01535E+12,50
100670010,SBOZZO CHIAVE NUOVO ASIX,1903,1.67,8.01535E+12,50
100670100,SBOZZO CHIAVE ASIX P8,1903,3.69,8.01535E+12,50
10067010000CP,SBOZZO ASIX P8 TESTA PERSONALIZZATA,1903,4.78,8.01535E+12,50
10069000000CL,CHIAVE ASTRAL TEKNO,3909,10.55,8.01535E+12,50
10069000000CP,CHIAVE ASTRAL TEKNO PERSON.,3909,11.61,8.01535E+12,50
10069000000EL,CHIAVE ASTRAL TEKNO PER STARK,3909,11.61,8.01535E+12,50
100800800,TESSERA CILINDRO RS3 S A CODICE,3913,60.97,0,1
1006901800000KC,TESSERA X CILINDRO TEKNO INOVATE A CODICE,3919,59.19,8.01535E+12,1
1006908000000KC,TESSERA X CILINDRO ASTRAL TEKNO A CODICE,3919,60.97,8.01535E+12,1
1007008000000KC,TESSERA CILINDRO RS3 A CODICE,3913,60.4,8.01535E+12,1
10077000000CL,CHIAVE AP3 ALI,3907,20.09,8.01535E+12,50
10077000000RQ,CHIAVE AP3 ALI VERDI PER SILVELOX,3907,20.09,8.01535E+12,
10077000000UT,CHIAVE AP3 ALI BLU TRASPARENTI P3,3907,20.09,8.01535E+12,
10077000000UZ,CH. AP3 ALI BLU PER TECNOFERR P3,3907,20.09,8.01535E+12,
10077000000VA,CH. AP3 ALI VERDI PP,3907,20.09,8.01535E+12,50
10077000000VM,CHIAVE AP3 GASPEROTTI,3907,20.09,8.01535E+12,
10077010000CL,CHIAVE AP3 ALI COLORE BIANCO ROSSO,3907,20.09,8.01535E+12,
10077010000QM,CH. AP3 OIKOS ALI VERDI RAL 6017,3907,20.09,8.01535E+12,50
10077020000CL,CHIAVE AP3 ALI COLORE BIANCO,3907,20.09,8.01535E+12,50
10077030000CL,CHIAVE AP3 ALI COLORE NERO,3907,20.09,8.01535E+12,
1007708000000KC,TESSERA X CILINDRO AP3 A CODICE,3917,64.82,8.01535E+12,1
10077500000UT,CHIAVE AP3 ALI BLU TRASPARENTI P3,3907,22.86,8.01535E+12,50
10077500000UZ,CH. AP3 ALI BLU PER TECNOFERR P3,3907,22.86,8.01535E+12,
100780000,MAZZETTO 3 CH.CIFRATE AP3 E SEC.CARD,3907,89.73,8.01535E+12,50
10080000000CL,CHIAVE NUOVO RS3 ALI,3903,28.63,8.01535E+12,50
10A31210012,CIL.POM.CH.P.ANT.SOLO GAM,2850,85.57,8.01535E+12,
100800910,TESSERA AUTHENTICARD MULTILINGUE,3913,43.38,8.01535E+12,50
100800920,AUTHENTICARD AERO,6375,766.05,8.01535E+12,1
100800950,TESSERA ELETTRONICA CT5,6248,12.54,8.01535E+12,50
100800960,TESSERA ELETTRONICA CT6 1K,6248,5.45,8.01535E+12,50
100801920,AERO STARTER KIT,6375,896.73,8.01535E+12,1
100810000,CHIAVE AP4,3910,18.13,8.01535E+12,50
